sub_id,turf_id,coop,state,species,common_name_spanish,scientific_name,common_name_english,aphia_id
7_35,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_34,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
17_1,MX_C_017,S.C.P.P. BUZOS Y PESCADORES DE LA BAJA CALIFORNIA,BCS,NODATA,NODATA,NA,NA,NA
25_1,MX_C_025,S.C.P.P. PUERTO SAN CARLOS,BCS,ABULON (Haliotis spp.),ABULON,Haliotis spp.,Abalone,138050
25_1,MX_C_025,S.C.P.P. PUERTO SAN CARLOS,BCS,LANGOSTA (Panulirus spp.),LANGOSTA,Panulirus spp.,Lobster,107060
24_1,MX_C_024,S.C.P.P. PESCADORES DE LA POZA,BCS,ABULON AZUL (Haliotis flugens),ABULON AZUL,Haliotis fulgens,Green Abalone,445325
24_1,MX_C_024,S.C.P.P. PESCADORES DE LA POZA,BCS,ABULON AMARILLO (Haliotis corrugata),ABULON AMARILLO,Haliotis corrugata,Pink Abalone,445308
24_1,MX_C_024,S.C.P.P. PESCADORES DE LA POZA,BCS,LANGOSTA ROJA (Panuliru interruptus),LANGOSTA ROJA,Panulirus interruptus,California Spiny Lobster,382898
24_1,MX_C_024,S.C.P.P. PESCADORES DE LA POZA,BCS,LANGOSTA AZUL (Panulirus inflatus),LANGOSTA AZUL,Panulirus inflatus,Blue Spiny Lobster,382897
22_1,MX_C_022,S.C.P.P. GENERAL MELITON ALBAÑEZ,BCS,ABULON (Haliotis spp.),ABULON,Haliotis spp.,Abalone,138050
22_1,MX_C_022,S.C.P.P. GENERAL MELITON ALBAÑEZ,BCS,LANGOSTA (Panulirus spp.),LANGOSTA,Panulirus spp.,Lobster,107060
22_1,MX_C_022,S.C.P.P. GENERAL MELITON ALBAÑEZ,BCS,OSTION DE ROCA (Crassostrea iridescens),OSTION DE ROCA,Striostrea prismatica,Rock Oyster,506739
22_1,MX_C_022,S.C.P.P. GENERAL MELITON ALBAÑEZ,BCS,CARACOL BURRO (Melongena Patula),CARACOL BURRO,Melongena patula,Pacific Crown Conch,567144
212_1,MX_C_212,S.C.P.P. PROGRESO DE PRODUCCION PESQUERA,BCS,NODATA,NODATA,NA,NA,NA
20_1,MX_C_020,S.C.P.P. BAHIA TORTUGAS,BCS,NODATA,NODATA,NA,NA,NA
18_1,MX_C_018,S.C.P.P. EMANCIPACION,BCS,ABULON (Haliotis spp.),ABULON,Haliotis spp.,Abalone,138050
18_1,MX_C_018,S.C.P.P. EMANCIPACION,BCS,CARACOL PANOCHA,CARACOL PANOCHA,Megastraea undosa,Wavy Turban Snail,528084
18_1,MX_C_018,S.C.P.P. EMANCIPACION,BCS,CANGREJO,CANGREJO,NA,NA,NA
18_1,MX_C_018,S.C.P.P. EMANCIPACION,BCS,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
18_1,MX_C_018,S.C.P.P. EMANCIPACION,BCS,PEPINO DE MAR,PEPINO DE MAR,Holothuroidea,Sea Cucumber,123083
6_1,MX_C_006,S.C.P.P. PESCADORES NACIONALES DE ABULON,BCS,NODATA,NODATA,NA,NA,NA
31_1,MX_C_031,S.C.P.P. CALIFORNIA DE SAN IGNACIO,BCS,ABULON (Haliotis spp.),ABULON,Haliotis spp.,Abalone,138050
31_1,MX_C_031,S.C.P.P. CALIFORNIA DE SAN IGNACIO,BCS,CARACOL PANOCHA,CARACOL PANOCHA,Megastraea undosa,Wavy Turban Snail,528084
31_1,MX_C_031,S.C.P.P. CALIFORNIA DE SAN IGNACIO,BCS,CANGREJO,CANGREJO,NA,NA,NA
