sub_id,turf_id,coop,state,species,common_name_spanish,scientific_name,common_name_english,aphia_id
85_1,MX_C_085,S.C.P.P. ATARRAYEROS CECEISTAS,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
83_1,MX_C_083,S.C.P.P. GERMINAL ARAMBURO CRISTERNA,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
82_1,MX_C_082,S.C.P.P. TRIUNFO PESQUERO DE PALMILLAS,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
81_1,MX_C_081,S.C.P.P. GENERAL LAZARO CARDENAS,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
80_1,MX_C_080,S.C.P.P. SUR DE SINALOA,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
78_1,MX_C_078,S.C.P.P. JOSE LUIS CASTRO VERDUZCO,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
97_1,MX_C_097,S.C.P.P. HORACIO FIERRO LOPEZ,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
76_1,MX_C_076,S.C.P.P. PESCADORES DE LA BAHIA DE CEUTA,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
75_1,MX_C_075,S.C.P.P. BOCA DEL RIO SAN LORENZO,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
74_1,MX_C_074,S.C.P.P. BAHIA DEL COLORADO,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
73_1,MX_C_073,S.C.P.P. COSPITA,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
72_1,MX_C_072,S.C.P.P. PESCADORES DE LA CRUZ,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
71_1,MX_C_071,S.C.P.P. GENERAL ANGEL FLORES,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
70_1,MX_C_070,S.C.P.P. GENERAL RAFAEL BUELNA,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
69_1,MX_C_069,S.C.P.P. GENERAL MACARIO GAXIOLA,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
189_1,MX_C_189,S.C.P.P. CERRO DE SAN CARLOS,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
188_1,MX_C_188,S.C.P.P. REVOLUCION SOCIAL,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
96_1,MX_C_096,S.C.P.P. CERRO DE TEROME,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
187_1,MX_C_187,S.C.P.P. SEBASTIAN AHUMADA VALDEZ,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
186_1,MX_C_186,S.C.P.P. PESCADORES UNIDOS DEL MABIRI,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
185_1,MX_C_185,S.C.P.P. CERRO LA TUNOSA,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
184_1,MX_C_184,S.C.P.P. BACHOMO,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
183_1,MX_C_183,S.C.P.P. EUSTAQUIO URIAS VALDEZ,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
182_1,MX_C_182,S.C.P.P. INDUSTRIAL DEL NORTE,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
181_1,MX_C_181,S.C.P.P. INDEPENDENCIA DE AGUA VERDE,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
180_1,MX_C_180,S.C.P.P. PESCADORES DEL IGUANITO,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
